author,title,n_sentences,mean_sentence_len
Chekhov,Агафья,284,10.95
Chekhov,Анна на шее,206,19.57
Chekhov,Анюта,123,9.8
Chekhov,Аптекарша,182,8.2
Chekhov,Ариадна,482,17.52
Chekhov,Архиерей,345,13.87
Chekhov,"Ах, зубы",71,9.28
Chekhov,Бабы,337,12.04
Chekhov,Баран и барышня,101,5.61
Chekhov,Барыня,968,6.06
Chekhov,Беглец,185,11.71
Chekhov,Беда 1886,96,11.56
Chekhov,Беда 1887,146,13.12
Chekhov,Беззащитное существо,143,9.58
Chekhov,Белолобый,103,16.23
Chekhov,Беседа пьяного с трезвым чёртом,61,9.07
Chekhov,Брак по расчёту,124,9.75
Chekhov,Брожение умов,122,8.25
Chekhov,Бумажник,72,11.0
Chekhov,В аптеке,104,10.92
Chekhov,В вагоне,248,6.12
Chekhov,В овраге,931,12.83
Chekhov,В потёмках,161,8.09
Chekhov,В ссылке,245,11.78
Chekhov,В суде,131,14.76
Chekhov,Ванька,80,14.61
Chekhov,Ведьма,342,10.59
Chekhov,Верочка,256,15.31
Chekhov,Винт,110,9.45
Chekhov,Водевиль,147,7.28
Chekhov,Володя,322,12.02
Chekhov,Восклицательный знак,140,9.06
Chekhov,Враги,321,12.69
Chekhov,Встреча весны,79,11.35
Chekhov,Выигрышный билет,124,11.72
Chekhov,Глупый француз,110,8.74
Chekhov,Горе,186,8.63
Chekhov,Гость,151,7.52
Chekhov,Грешник из Толедо,154,11.15
Chekhov,Гриша,77,12.16
Chekhov,Гусев,356,11.15
Chekhov,Дама с собачкой,317,16.52
Chekhov,Дачники,56,9.3
Chekhov,Дачница,59,12.15
Chekhov,Два скандала,327,9.7
Chekhov,Двадцать девятое июня,300,6.84
Chekhov,День за городом,189,9.34
Chekhov,Детвора,170,9.03
Chekhov,Дипломат,188,6.56
Chekhov,Добрый знакомый,52,7.42
Chekhov,Дом с мезонином,344,16.8
Chekhov,Дома,228,12.57
Chekhov,Дорогая собака,115,6.2
Chekhov,Дорогие уроки,110,17.68
Chekhov,Дочь Альбиона,165,6.54
Chekhov,Драма на охоте,5118,10.8
Chekhov,Душечка,253,15.62
Chekhov,Дуэль,2432,13.13
Chekhov,Злоумышленник,139,8.19
Chekhov,Ионыч,359,15.54
Chekhov,Каштанка,434,13.82
Chekhov,Крыжовник,187,17.76
Chekhov,Лошадиная фамилия,163,6.05
Chekhov,Налим,199,6.89
Chekhov,О любви,141,22.04
Chekhov,Палата №6,1169,14.2
Chekhov,Пересолил,152,7.73
Chekhov,Смерть чиновника,81,8.93
Chekhov,Толстый и тонкий,73,7.33
Chekhov,Тоска,192,7.93
Chekhov,Хамелеон,131,7.2
Chekhov,Хирургия,154,6.45
Chekhov,Человек в футляре,256,16.21
Gorky,Бывшие люди,1684,10.88
Gorky,В людях,12545,15.08
Gorky,В степи,338,10.5
Gorky,Двадцать шесть и одна,292,15.39
Gorky,Дело с застёжками,336,9.88
Gorky,Детство,3730,15.13
Gorky,Емельян Пиляй,382,9.93
Gorky,Знахарка,288,11.16
Gorky,Коновалов,1445,10.8
Gorky,Ледоход,426,14.68
Gorky,Ма-аленькая!...,169,7.87
Gorky,Макар Чудра,379,11.11
Gorky,Мать,8213,11.29
Gorky,Мои университеты,2640,13.82
Gorky,На плотах,481,7.99
Gorky,Озорник,503,11.07
Gorky,Песня о соколе,112,12.59
Gorky,Проходимец,971,11.7
Gorky,Рождение человека,176,16.21
Gorky,Скуки ради,430,11.0
Gorky,Старуха Изергиль,651,10.91
Gorky,Страсти-мордасти,457,9.74
Gorky,Фома Гордеев,7370,10.92
Gorky,Челкаш,984,9.88
Gorky,Ярмарка в Голтве,355,9.66
Bryusov,Алтарь победы,6640,20.36
Bryusov,Бемоль,111,14.42
Bryusov,В башне,100,13.75
Bryusov,В зеркале,231,14.12
Bryusov,В подземной тюрьме,192,16.03
Bryusov,Восстание машин,103,21.47
Bryusov,Гора Звезды,2023,9.92
Bryusov,Декадент,1320,12.58
Bryusov,Дитя и безумец,105,9.73
Bryusov,За себя или за другую,162,14.87
Bryusov,Защита,200,10.22
Bryusov,Моцарт,1202,13.81
Bryusov,Мраморная головка,103,11.97
Bryusov,Ночное путешествие,69,17.39
Bryusov,Обручение Даши,1445,12.03
Bryusov,Огненный ангел,3570,27.69
Bryusov,Первая любовь,151,10.89
Bryusov,Под Старым мостом,360,11.03
Bryusov,Последние мученики,308,11.16
Bryusov,Последние страницы из дневника женщины,1274,12.7
Bryusov,Предсмертный бред Вергилия,107,14.31
Bryusov,"Рассказы Маши, с реки Мологи, под городом Устюжна",151,10.81
Bryusov,Республика Южного Креста,382,14.94
Bryusov,Рея Сильвия,491,16.72
Bryusov,Семь земных соблазнов,588,17.96
Bryusov,Сестры,429,10.21
Bryusov,"Теперь, - когда я проснулся...",172,15.03
Bryusov,Через пятнадцать лет,207,13.67
Bryusov,"Элули, сын Элули",135,18.27
Bryusov,Юпитер поверженный,2517,18.32
Tolstoy,Альберт,649,12.8
Tolstoy,Алёша горшок,150,10.94
Tolstoy,Анна Каренина,20249,14.32
Tolstoy,Божеское и человеческое,737,14.58
Tolstoy,Война и мир. Том 1,8016,15.65
Tolstoy,Война и мир. Том 2,9119,15.06
Tolstoy,Война и мир. Том 3,8276,16.95
Tolstoy,Война и мир. Том 4,7396,18.28
Tolstoy,Воскресение,9064,15.73
Tolstoy,Два гусара,1245,14.29
Tolstoy,Декабристы,984,16.17
Tolstoy,Детство,1491,20.8
Tolstoy,Дьявол,1158,12.48
Tolstoy,Записки маркера,552,9.55
Tolstoy,Записки сумасшедшего,399,9.37
Tolstoy,Из записок князя Д. Нехлюдова (Люцерн),395,19.98
Tolstoy,Кавказский пленник,731,9.39
Tolstoy,Казаки,4297,11.08
Tolstoy,Корней Васильев,464,10.55
Tolstoy,Крейцерова соната,1811,14.29
Tolstoy,Метель,520,16.86
Tolstoy,Набег,411,17.89
Tolstoy,Отец Сергий,1156,12.07
Tolstoy,Отрочество,1244,19.21
Tolstoy,Поликуша,1307,13.27
Tolstoy,После бала,191,16.69
Tolstoy,Праведный судья,73,11.68
Tolstoy,Работник Емельян и пустой барабан,246,9.07
Tolstoy,Разжалованный,403,20.42
Tolstoy,Рубка леса,653,16.93
Tolstoy,Севастополь в августе 1855 года,1121,16.79
Tolstoy,Севастополь в декабре месяце,170,27.79
Tolstoy,Севастополь в мае,693,19.82
Tolstoy,Семейное счастье,1599,17.69
Tolstoy,Смерть Ивана Ильича,1182,15.04
Tolstoy,Три смерти,343,11.59
Tolstoy,Утро пемещика,950,17.06
Tolstoy,Хаджи-Мурат,2517,14.38
Tolstoy,Хозяин и работник,979,15.07
Tolstoy,Холстомер,817,14.24
Tolstoy,Юность,2088,24.28
Tolstoy,Ягоды,232,13.82
